Site,Year,Month,Day,Hour,Value,Unit
Beijing,2014,4,20,6,84,mcg/m^3
Beijing,2014,4,20,7,87,mcg/m^3
Beijing,2014,4,20,8,64,mcg/m^3
Beijing,2014,4,20,9,52,mcg/m^3
Beijing,2014,4,20,10,30,mcg/m^3
Beijing,2014,4,20,11,23,mcg/m^3
Beijing,2014,4,20,12,22,mcg/m^3
Beijing,2014,4,20,13,17,mcg/m^3
Beijing,2014,4,20,14,22,mcg/m^3
Beijing,2014,4,20,15,33,mcg/m^3
Beijing,2014,4,20,16,43,mcg/m^3
Beijing,2014,4,20,17,49,mcg/m^3
Beijing,2014,4,20,18,56,mcg/m^3
Beijing,2014,4,20,19,59,mcg/m^3
Beijing,2014,4,20,20,69,mcg/m^3
Beijing,2014,4,20,21,59,mcg/m^3
Beijing,2014,4,20,22,72,mcg/m^3
Beijing,2014,4,20,23,76,mcg/m^3
Beijing,2014,4,21,0,90,mcg/m^3
Beijing,2014,4,21,1,91,mcg/m^3
Beijing,2014,4,21,2,90,mcg/m^3
Beijing,2014,4,21,3,91,mcg/m^3
Beijing,2014,4,21,4,66,mcg/m^3
Beijing,2014,4,21,5,46,mcg/m^3
Beijing,2014,4,21,6,49,mcg/m^3
Beijing,2014,4,21,7,48,mcg/m^3
Beijing,2014,4,21,8,45,mcg/m^3
Beijing,2014,4,21,9,44,mcg/m^3
Beijing,2014,4,21,10,39,mcg/m^3
Beijing,2014,4,21,11,23,mcg/m^3
Beijing,2014,4,21,12,26,mcg/m^3
Beijing,2014,4,21,13,24,mcg/m^3
Beijing,2014,4,21,14,25,mcg/m^3
Beijing,2014,4,21,15,30,mcg/m^3
Beijing,2014,4,21,16,44,mcg/m^3
Beijing,2014,4,21,17,30,mcg/m^3
Beijing,2014,4,21,18,32,mcg/m^3
Beijing,2014,4,21,19,36,mcg/m^3
Beijing,2014,4,21,20,43,mcg/m^3
Beijing,2014,4,21,21,66,mcg/m^3
Beijing,2014,4,21,22,68,mcg/m^3
Beijing,2014,4,21,23,73,mcg/m^3
Beijing,2014,4,22,0,90,mcg/m^3
Beijing,2014,4,22,1,106,mcg/m^3
Beijing,2014,4,22,2,102,mcg/m^3
Beijing,2014,4,22,3,66,mcg/m^3
Beijing,2014,4,22,4,65,mcg/m^3
Beijing,2014,4,22,5,52,mcg/m^3
Beijing,2014,4,22,6,68,mcg/m^3
Beijing,2014,4,22,7,104,mcg/m^3
Beijing,2014,4,22,8,84,mcg/m^3
Beijing,2014,4,22,9,42,mcg/m^3
Beijing,2014,4,22,10,36,mcg/m^3
Beijing,2014,4,22,11,56,mcg/m^3
Beijing,2014,4,22,12,51,mcg/m^3
Beijing,2014,4,22,13,170,mcg/m^3
Beijing,2014,4,22,14,87,mcg/m^3
Beijing,2014,4,22,15,55,mcg/m^3
Beijing,2014,4,22,16,107,mcg/m^3
Beijing,2014,4,22,17,105,mcg/m^3
Beijing,2014,4,22,18,66,mcg/m^3
Beijing,2014,4,22,19,73,mcg/m^3
Beijing,2014,4,22,20,76,mcg/m^3
Beijing,2014,4,22,21,60,mcg/m^3
Beijing,2014,4,22,22,64,mcg/m^3
Beijing,2014,4,22,23,73,mcg/m^3
Beijing,2014,4,23,0,81,mcg/m^3
Beijing,2014,4,23,1,88,mcg/m^3
Beijing,2014,4,23,2,98,mcg/m^3
Beijing,2014,4,23,3,99,mcg/m^3
Beijing,2014,4,23,4,99,mcg/m^3
Beijing,2014,4,23,5,108,mcg/m^3
Beijing,2014,4,23,6,129,mcg/m^3
Beijing,2014,4,23,7,136,mcg/m^3
Beijing,2014,4,23,8,151,mcg/m^3
Beijing,2014,4,23,9,162,mcg/m^3
